Worker size,Energy (FA),Energy (MZ),Time (FA),Time (MZ),RMSD (FA),RMSD (AA),RMSD (AAS)
A1,10.613,23.553,2,85,9.32302,9.0206,8.41719
A1,65.791,91.050,2,32,6.34524,4.85017,4.20973
A1,43.417,7.602,2,85,11.9347,11.9873,11.7322
A1,-55.437,-3.788,2,65,3.79089,4.33719,2.90302
A1,-0.026,-18.958,2,131,7.44458,5.88571,5.8135
A1,-20.595,-14.124,2,47,9.48013,8.52729,8.31712
A1,-96.995,11.789,2,43,5.9352,6.6304,5.60654
A1,-78.280,-26.985,2,41,5.96007,4.62108,3.07276
A1,47.609,10.362,3,125,7.2155,8.97142,7.08371
A1,-58.540,-19.713,2,60,8.70567,7.23836,5.71857
A1,26.784,60.732,1,35,12.1616,11.197,9.63778
A1,-24.478,75.144,1,40,11.8486,10.044,8.44734
A1,-75.221,-16.647,2,22,8.5312,7.68065,6.28091
A1,21.112,20.538,2,29,9.86874,9.51224,8.34609
A1,43.544,-5.273,1,66,8.65734,7.85082,6.91059
A1,13.836,10.005,2,24,12.8188,11.4748,11.2084
A1,-66.645,-20.223,2,40,7.54612,7.02266,5.37819
A1,-23.455,-9.642,1,60,10.8727,12.6612,12.6802
A1,-23.788,7.593,2,57,11.3494,11.1368,10.5916
A1,-55.949,-13.111,1,37,7.39653,7.33809,5.90325
A1,-41.394,33.059,2,69,12.4138,14.3431,14.1529
A1,-1.858,29.159,2,50,11.9895,11.4251,10.2211
A1,-15.703,67.666,1,40,11.2964,10.7677,10.7965
A1,-24.127,-16.147,2,74,10.774,10.2056,9.83365
A1,-40.324,24.372,2,49,10.167,9.44792,8.73751
A1,50.767,141.510,1,107,12.6443,11.5052,11.1091
A1,-38.694,-14.010,1,69,7.95226,6.26723,5.11495
A1,-93.710,-14.530,2,78,6.74947,7.27047,5.46926
A1,-22.616,-7.226,2,48,6.80765,6.29133,5.38166
A1,-70.990,-17.156,2,28,7.4288,6.51448,5.19982
A1,43.284,2.716,1,113,10.69,9.65434,8.35666
A1,-77.807,32.947,2,40,7.96354,8.57447,5.80596
A1,-21.862,6.048,2,152,13.3687,12.4502,12.4372
A1,-35.100,-0.632,2,35,4.31156,5.24758,3.52843
A1,-20.092,-10.677,2,62,10.1047,10.593,10.2345
A1,-89.523,-13.427,2,33,6.6033,6.54177,5.22665
A1,-72.008,-7.769,2,62,7.13582,6.19549,3.57074
A1,-11.859,17.581,2,33,9.35886,8.72715,8.2067
A1,-71.753,-33.105,2,59,5.89655,4.56231,3.47026
A1,-86.780,-28.296,2,58,7.45391,7.50291,6.54497
A1,-93.293,-12.275,2,26,6.49245,5.86482,5.07216
A1,-30.178,-9.057,2,73,11.924,12.1859,12.2993
A1,-93.252,-22.219,2,21,10.1502,9.79157,7.38085
A1,-28.962,120.390,2,54,11.735,10.2645,9.55624
A1,-28.441,-22.056,2,48,6.68621,4.60433,3.57128
A1,-72.328,96.845,1,73,7.56149,6.83205,4.13603
A1,-64.880,26.338,2,44,5.97897,5.40295,4.17838
A1,12.192,-8.560,1,62,7.21675,6.73862,5.61264
A1,-108.341,-4.380,2,46,6.30607,6.458,3.89897
A1,62.454,-1.989,1,24,11.9447,12.5646,10.605
A1,30.270,8.931,2,50,7.23817,6.96689,5.15151
A1,-93.261,55.392,1,40,6.91017,6.37685,4.17733
A1,0.006,169.213,2,41,10.1532,10.4674,8.98296
A1,-43.120,4.282,2,34,10.366,10.6652,10.4763
A1,-71.322,-13.776,2,100,7.23693,5.03712,3.11505
A1,-83.025,-8.230,2,36,6.71438,7.10589,5.38009
A1,-75.566,-25.036,2,53,8.88262,8.0896,7.12365
A1,-87.157,-12.563,2,21,9.07004,8.55576,6.55435
A1,-14.841,-9.628,1,53,9.40802,8.35543,6.2028
A1,-32.599,-20.549,1,37,7.69781,4.97333,3.99253
A1,-45.210,-8.148,1,49,12.5941,12.8997,12.7212
A1,-57.657,-13.772,2,55,5.64745,4.54248,3.79351
A1,-75.273,-16.680,1,48,5.58676,4.85055,3.55222
A1,-46.202,-12.382,1,17,7.4644,6.64654,5.30539
A1,-10.357,-13.917,2,34,10.299,9.04764,7.31893
A1,62.803,6.157,1,30,8.98178,7.47925,7.42921
A1,3.680,-23.040,2,55,12.8906,10.7642,8.9885
A1,-6.171,79.322,2,46,9.33436,7.75768,6.99633
A1,-25.726,0.957,2,18,11.1387,9.32054,7.74005
A1,-104.683,-35.474,1,30,6.88375,6.3838,3.6
A1,39.191,-5.887,2,43,9.97515,8.44002,7.74089
A1,-28.055,-19.693,1,50,8.81558,7.34789,5.96579
A1,-84.190,-28.818,2,31,7.02962,7.43739,4.64847
A1,-81.385,-25.273,2,30,7.62889,7.26915,5.5768
A1,14.753,118.800,2,95,8.00096,8.04975,6.58894
A1,-25.366,24.264,1,45,9.25397,8.43968,5.41307
A1,28.794,15.720,2,99,9.32906,8.58647,8.70661
A1,60.745,-22.172,2,73,11.2214,9.98209,8.81321
A1,36.658,30.998,1,40,10.5819,10.8883,11.5861
A1,12.535,16.478,1,58,12.6657,12.4614,11.2762
A1,15.038,10.799,2,43,11.4815,10.6883,9.59316
A1,-48.139,1.194,2,42,6.19373,5.74232,4.29987
A1,-78.077,-28.774,2,38,4.76996,4.21562,3.4615
A1,10.090,348.963,1,133,10.7024,10.7024,9.13209
A1,20.125,24.180,2,53,7.48608,7.37054,4.6688
A1,-75.216,169.130,2,30,5.57395,5.70047,3.36452
A1,-95.140,-26.937,2,22,4.38766,3.86891,2.81424
A1,-28.623,63.519,1,33,13.2612,12.714,12.7715
A1,-67.330,-18.069,1,26,5.27567,4.5314,3.57751
A1,48.928,30.345,1,54,9.79899,7.65112,6.84139
A1,13.457,12.574,2,57,9.88345,9.3819,8.84819
A1,-47.436,-3.086,2,143,12.4662,12.6433,12.8961
A1,-67.530,-17.392,2,56,13.4632,14.0236,13.4791
A1,-85.846,-6.359,2,18,7.61332,7.17064,5.77939
A1,0.285,17.794,1,35,9.24123,9.25519,6.97194
A1,-26.168,-17.170,2,81,6.9981,6.42132,4.77273
A1,-97.923,-11.055,1,19,6.30201,6.35571,4.96269
A1,-27.550,-23.207,1,48,10.036,9.65389,8.05197
A1,-79.741,-22.604,1,37,6.90827,7.09705,5.00953
A1,-88.078,-41.962,1,49,7.10943,6.32791,5.09352
A1,-4.922,12.280,1,53,11.8502,11.9536,7.80743
A1,-65.855,-16.085,2,24,11.1202,10.7543,8.72257
A1,-84.238,-10.947,2,36,5.87669,6.08242,4.56514
A1,-83.326,-17.659,2,37,5.93757,5.69189,3.55305
A1,30.222,74.451,1,40,6.96676,7.42387,6.88517
A1,-110.019,-9.046,1,35,6.70969,6.62644,4.47038
A1,-17.719,45.606,2,106,11.9327,11.1848,9.98188
A1,-5.160,-2.324,2,95,12.9002,13.955,13.4754
A1,-90.667,-24.092,2,29,6.51051,6.46696,4.65954
A1,28.176,-23.383,1,59,8.31629,5.3111,3.68923
A1,-62.668,16.548,2,57,8.09963,6.04876,5.33351
A1,-12.307,-18.432,2,36,11.9882,12.5946,12.2895
A1,28.792,-11.079,1,47,6.77683,6.43254,5.29967
A1,15.073,164.234,2,36,12.3909,12.6978,11.3954
A1,-55.675,-4.451,1,41,9.19307,8.2484,5.87782
A1,-62.277,-27.743,1,31,9.78038,9.25588,8.32481
A1,-47.983,-13.051,2,20,13.6892,13.117,12.4101
A1,-57.253,7.168,2,77,10.7384,10.8567,10.5416
A1,-54.967,4.787,2,19,6.23247,5.96047,4.17704
A1,-91.559,-17.567,1,48,6.49397,5.69377,3.96972
A1,-48.274,-29.122,1,47,8.53762,7.84901,4.23436
A1,14.404,-12.755,2,58,10.1226,9.29407,8.71604
A1,16.854,-12.078,1,50,14.0009,11.4991,9.96888
A1,18.896,33.904,2,32,8.03799,8.28407,6.67421
A1,-87.591,-22.396,2,38,10.6714,10.4722,7.93369
A1,-54.302,8.753,2,44,5.93788,6.67564,4.94433
A1,-40.106,-1.588,1,35,10.4734,8.94784,6.67101
A1,-17.231,105.339,1,35,6.43954,6.20756,6.06995
A1,-89.512,1.347,2,43,12.5905,13.9798,13.8021
A1,15.105,11.707,2,70,10.9379,9.49188,8.90285
A1,-63.041,-18.137,2,57,12.3571,13.1017,13.0489
A1,-58.694,-19.553,2,83,7.32473,4.67174,3.16007
A1,-92.582,-26.696,2,47,7.21215,6.8477,4.23058
A1,81.519,10.807,1,49,13.744,12.3063,11.5338
A1,-89.060,-9.967,2,28,8.61745,8.05571,6.2556
A1,9.584,38.219,1,47,10.4706,10.4547,8.72173
A1,-44.166,-33.294,2,45,7.49253,4.89423,3.83133
A1,-65.186,-23.305,1,31,6.49632,6.1597,4.68812
A1,-73.771,8.743,1,39,7.33152,6.67069,4.41831
A1,-11.354,117.420,2,72,11.9023,12.6903,9.62347
A1,-49.179,-24.071,2,61,4.84915,5.35467,4.08265
A1,5.885,515.411,1,43,11.7631,13.3846,12.9122
A1,3.358,45.186,2,46,10.0711,9.87366,9.38393
A1,58.910,0.455,1,22,13.2982,10.6569,11.1224
A1,56.662,72.248,1,79,12.1217,8.81565,8.56312
A1,-62.426,-10.823,2,20,4.98341,4.57355,3.33091
A1,-81.215,-17.855,2,36,5.79521,4.90217,4.05068
A1,-74.754,81.659,1,38,8.17219,6.53054,4.59402
A1,29.929,7.751,1,37,9.7119,8.06223,5.81288
A1,-52.397,-0.067,2,48,13.4303,12.9456,12.6551
A1,-58.553,-14.919,2,31,12.4059,13.6087,12.9454
A1,-89.328,-24.248,1,35,6.7472,6.45558,4.22764
A1,-18.403,41.867,1,71,12.1994,12.1469,11.9771
A1,-86.305,32.789,2,55,9.93605,8.78339,8.33882
A1,-70.921,6.656,2,75,13.4452,13.461,13.6793
A1,58.734,22.133,2,23,10.6884,9.45431,8.85892
A1,-54.068,14.115,2,43,5.19587,4.78792,3.61842
A1,-36.977,9.190,2,67,10.9019,10.5598,10.0672
A1,-100.789,-21.901,2,36,6.49474,6.37103,4.84953
A1,20.249,-16.473,2,51,6.59844,4.70054,4.02635
A1,-3.382,40.686,2,65,13.8084,14.0394,13.2842
A1,-27.215,75.532,2,45,9.24328,9.07003,8.95929
A1,-28.605,368.238,2,71,10.8941,10.8941,10.2649
A1,-7.522,-0.944,2,87,12.4406,11.6199,9.92871
A1,-95.947,-20.760,1,39,7.12517,6.79257,4.12819
A1,4.710,34.238,2,52,9.6173,9.18197,7.09204
A1,-6.679,-1.163,2,23,8.07095,6.92366,5.38703
A1,-66.361,-6.985,1,44,13.7516,13.8985,13.6682
A1,-50.403,-13.296,2,14,8.35887,7.64764,5.21535
A1,-30.905,-19.603,2,55,9.86762,7.99238,7.919
A1,122.837,178.428,2,64,11.3928,10.6391,9.21496
A1,15.664,25.820,1,43,6.29355,6.71192,5.40318
A1,27.563,64.881,1,70,11.3981,10.334,9.02584
A1,-8.854,11.002,2,37,7.44092,5.49567,3.46234
A1,-16.260,-22.672,2,66,6.92683,8.47747,7.45626
A1,-54.456,-32.687,1,58,9.57103,9.64778,7.7699
A1,-49.262,-20.848,1,46,8.75466,8.43181,6.34931
A1,-61.284,-29.986,2,42,8.71005,7.7998,5.67732
A1,-14.105,-0.033,2,39,8.36209,8.01329,7.03522
A1,-13.548,1.832,2,31,8.81123,8.29222,7.2016
A1,-101.762,-29.772,2,30,4.51844,3.84092,2.73129
A1,-88.784,-18.402,2,56,6.84577,5.36367,3.47397
A1,-62.526,4.847,2,52,12.972,13.048,12.5723
A1,-65.526,-12.052,2,41,8.0098,7.73798,4.78636
A1,-5.390,36.170,1,67,5.74118,4.54566,3.82152
A1,-41.535,-30.268,1,47,8.1403,7.45126,6.63445
A1,-64.442,-18.097,2,24,3.86878,4.91375,3.81766
A1,-94.816,10.620,2,28,7.49239,7.24083,5.50337
A1,-59.456,-27.223,1,64,9.604,9.05825,7.3298
A1,-54.163,-11.864,2,95,7.59065,6.79745,5.27977
A1,-58.858,-0.307,2,51,11.9238,13.0132,10.4641
A1,-36.315,34.198,1,62,12.792,12.6941,11.6222
A1,45.652,-5.687,2,32,9.70299,7.90398,7.48056
A1,14.690,-8.704,1,33,12.5554,13.2583,13.4064
A1,-2.473,-8.467,1,22,8.02112,6.78717,5.64541
A1,-30.036,-29.864,1,65,9.22533,5.29222,3.94861
A1,11.835,-1.515,2,58,7.44059,6.87553,6.61651
A1,-51.768,-11.769,2,20,9.07402,8.0376,4.4897
A1,-99.591,-31.444,2,46,5.18755,5.18848,3.72823
A1,-45.808,29.917,2,45,9.92623,9.49022,8.76183
A1,-31.979,5.940,1,35,9.63684,8.1179,6.80365
