Worker size,Energy (FA),Energy (MZ),Time (FA),CPU time (FA),Time (MZ),RMSD (FA),RMSD (AA),RMSD (AAS)
A1,-154.279,-33.086,1,0.850118,5,3.29074,2.39392,2.41067
A1,-157.920,-45.720,1,0.861083,8,1.82069,1.14122,1.09393
A1,-157.328,-45.757,1,0.845953,15,2.60869,1.70172,1.6018
A1,-162.073,-41.950,1,0.816469,9,1.7603,1.38319,1.27727
A1,-142.641,-35.417,1,0.827873,7,2.24456,1.63593,1.36407
A1,-154.814,4.015,0,0.875621,13,2.57831,1.65433,1.55141
A1,-150.468,-38.451,1,0.878007,7,2.50091,1.62091,1.61881
A1,-148.619,-45.877,1,0.835405,22,3.05256,1.38321,1.31348
A1,-165.217,-34.015,1,0.845283,12,2.53299,1.91696,1.8221
A1,-151.037,-51.418,1,0.862458,11,1.82504,0.771681,0.787676
A1,-154.859,-45.815,1,0.879447,9,2.38848,1.16577,1.09929
A1,-149.069,-43.948,1,0.843556,11,2.60298,2.19843,2.19769
A1,-155.704,-47.094,1,0.845067,12,1.61332,1.16207,1.17503
A1,-162.910,-44.219,1,0.848847,8,1.53785,1.09711,1.10114
A1,-151.724,-40.692,1,0.841623,13,1.35546,1.44951,1.29995
A1,-158.301,-48.526,1,0.864066,10,1.73524,0.791045,0.792028
A1,-142.029,-33.305,1,0.831815,15,2.58038,1.97376,1.4245
A1,-134.711,-12.147,1,0.838174,13,2.2974,1.36175,1.22465
A1,-161.248,-48.156,1,0.86155,16,2.31239,1.13825,1.18477
A1,-154.509,-40.772,1,0.842836,8,1.44574,0.845087,0.845643
A1,-149.562,-46.642,1,0.860404,15,3.00023,1.28704,1.28548
A1,-156.737,-43.166,1,0.85422,11,1.66088,1.48449,1.35369
A1,-154.202,-40.117,1,0.824856,9,3.379,2.72696,2.828
A1,-145.734,-50.679,1,0.843504,12,2.44649,0.8979,0.917614
A1,-159.510,-29.584,1,0.839585,11,2.91916,2.37003,2.42655
A1,-156.465,-38.491,1,0.854581,8,2.81827,2.19254,2.08629
A1,-149.460,-46.602,1,0.85613,10,1.61877,0.983688,0.995291
A1,-155.603,-39.575,1,0.821599,7,1.27381,1.16605,1.1363
A1,-156.601,-37.951,1,0.871368,13,2.35439,1.28784,1.08758
A1,-154.762,-34.351,1,0.88276,16,2.05406,1.6448,1.30595
A1,-159.564,-43.369,0,0.86294,13,2.29568,1.11543,1.13149
A1,-145.932,-36.811,1,0.82325,15,2.09322,1.72879,1.60327
A1,-148.102,-41.418,1,0.83757,8,2.18951,1.25095,1.29929
A1,-154.870,-40.023,1,0.833586,11,1.7039,1.35479,1.30714
A1,-154.036,-42.521,1,0.829489,20,1.66794,1.672,1.6625
A1,-156.571,-44.378,0,0.852444,14,1.87334,0.9381,0.914224
A1,-157.560,-44.912,1,0.834707,16,2.04079,1.3985,1.19342
A1,-148.013,-26.447,0,0.818686,13,2.73532,2.06792,1.45203
A1,-157.919,-47.984,1,0.836906,11,1.80932,0.894852,0.871993
A1,-153.839,-12.164,0,0.838394,13,2.0486,1.43135,1.23949
A1,-152.786,-12.646,1,0.834056,14,2.64285,2.49692,2.42531
A1,-155.551,-42.221,1,0.850421,7,1.818,1.38097,1.31548
A1,-148.300,-28.090,1,0.842454,12,2.9972,1.98225,2.00569
A1,-142.870,-38.952,0,0.828948,12,2.19261,2.05969,2.01757
A1,-159.939,-31.965,1,0.825955,8,2.37067,1.85591,1.81219
A1,-160.028,-39.351,1,0.85041,9,2.69452,1.84633,1.81074
A1,-158.725,-43.954,1,0.829571,16,1.92783,1.27061,1.2823
A1,-164.057,-40.351,1,0.847414,7,2.60769,2.1762,2.11055
A1,-161.676,-46.190,1,0.839242,13,2.47379,1.68593,1.53002
A1,-160.592,-44.436,0,0.870097,15,1.93046,0.946122,0.948052
A1,-152.915,-43.205,0,0.831049,12,2.49152,1.83664,1.83865
