Worker size,Energy (FA),Energy (MZ),Time (FA),CPU time (FA),Time (MZ),RMSD (FA),RMSD (AA),RMSD (AAS)
A1,-235.828,-51.369,3,3.04418,163,22.5935,21.363,15.3925
A1,-190.157,-46.493,3,2.78432,216,23.2651,24.9192,17.371
A1,-222.587,-48.500,3,2.7954,162,26.8228,25.7771,18.2854
A1,-229.147,-47.788,3,2.98765,92,24.9389,24.3509,17.0402
A1,-234.922,-39.833,3,2.69318,63,23.7247,23.7009,16.6866
A1,-219.844,-55.456,2,2.696,145,20.4599,19.0677,15.1886
A1,-228.327,-58.273,3,3.00255,191,17.7863,18.2809,13.8564
A1,-219.087,-0.898,2,2.61824,161,23.4427,23.3926,17.9349
A1,-213.462,-63.401,2,2.75442,207,18.7902,17.6285,14.7435
A1,-159.971,-40.806,3,2.96885,169,24.0723,22.7644,17.1792
A1,-188.532,-69.232,3,2.6349,268,26.7296,26.5391,18.9746
A1,-233.211,-44.667,3,2.7286,128,23.1475,23.202,16.9069
A1,-190.414,-45.786,3,2.86632,143,23.7961,23.6748,15.5776
A1,-177.651,-65.983,2,2.51634,279,17.0271,15.3226,10.7415
A1,-215.588,-25.440,3,2.64719,166,20.0679,16.3473,13.4446
A1,-272.919,-63.667,2,2.73415,198,25.8724,24.7325,16.4551
A1,-208.135,-45.004,3,2.81413,193,15.2615,15.6856,11.1505
A1,-231.546,-52.245,3,2.60197,84,24.5051,24.1685,18.0701
A1,-249.194,-58.910,3,2.75074,154,19.6897,19.7929,14.7522
A1,-177.875,-55.870,3,2.92492,174,17.5558,16.5442,12.8785
A1,-215.617,-70.816,2,2.6881,164,14.9529,11.8696,9.56198
A1,-229.551,-93.954,2,2.72886,229,21.4822,20.1454,15.874
A1,-197.447,-55.294,3,2.76777,106,21.3392,21.5896,15.3316
A1,-210.224,-44.003,3,2.5529,85,20.4962,19.8967,13.5399
A1,-269.332,-77.578,3,2.78865,200,15.9244,15.5668,11.6742
A1,-189.309,52.882,3,2.95175,191,22.8617,21.9484,15.9011
A1,-170.300,-14.004,3,2.71373,229,25.0028,21.6589,15.6594
A1,-200.328,-40.181,3,2.69784,58,21.2809,21.2776,14.3472
A1,-236.698,-68.005,3,2.94799,225,22.9873,19.1612,14.3734
A1,-242.351,-91.767,3,2.648,198,18.3634,15.9946,12.5282
A1,-204.649,-63.545,3,2.7487,172,21.3331,20.1265,15.8533
A1,-251.492,-74.206,3,2.86275,136,22.7336,22.0531,14.5815
A1,-290.078,-80.624,3,2.7083,91,22.9504,21.1922,16.1322
A1,-204.791,-55.800,3,2.77568,179,23.658,23.3589,15.9257
A1,-201.900,-53.767,3,3.00998,202,24.8993,24.5072,18.0034
A1,-249.637,-64.167,2,2.79558,239,23.4795,22.5726,15.9753
A1,-195.471,70.345,3,2.77777,199,23.7653,20.7536,14.8133
A1,-221.865,-66.033,3,2.94073,145,17.7689,16.8859,14.0401
A1,-180.956,-69.533,3,2.67206,153,18.2124,18.156,12.5954
A1,-214.449,-10.584,3,2.70293,171,25.1337,20.4877,14.4904
A1,-242.862,-33.062,3,2.96528,168,22.4674,17.9053,13.135
A1,-240.745,-34.010,2,2.62325,122,17.165,16.9206,13.9737
A1,-142.784,-47.479,3,2.74988,148,18.2965,17.3847,13.1704
A1,-203.720,-52.132,3,2.99419,201,23.7409,19.8534,14.1862
A1,-219.884,-54.518,3,2.77416,143,21.1941,19.2087,13.0685
A1,-193.500,-62.714,2,2.8069,270,25.0301,23.0382,18.4265
A1,-251.423,-74.289,3,2.95645,146,25.6713,23.7535,17.453
A1,-143.228,-67.232,2,2.52361,298,23.1145,22.8317,18.5127
A1,-202.688,-60.497,3,2.69614,198,22.989,22.3184,16.389
A1,-230.772,-78.307,3,2.68407,133,21.5317,22.5848,17.2973
A1,-209.649,-67.636,3,2.87249,115,19.5099,20.1071,14.3972
A1,-201.397,-72.125,3,2.54954,168,15.8754,16.5188,12.1083
A1,-223.440,-69.045,3,2.69197,146,23.8704,22.7477,15.4195
A1,-227.100,-62.499,3,2.89772,151,23.8661,22.5425,15.7706
A1,-180.871,-20.025,3,3.03565,113,25.3669,25.3589,18.6357
A1,-226.746,-33.491,3,2.66196,175,19.6058,23.1144,15.5166
A1,-166.349,-55.169,3,2.74196,166,24.2973,21.8585,15.0865
A1,-203.857,-40.542,3,2.91683,158,17.9701,15.1231,11.7619
A1,-191.594,-66.686,3,2.70323,173,16.5117,17.3964,13.2326
A1,-200.163,-54.341,3,2.76718,195,24.0107,22.791,15.8425
A1,-219.054,-64.501,3,2.92331,160,13.8137,10.5514,7.18778
A1,-216.421,-82.256,3,2.66656,122,18.8193,18.3949,13.1496
A1,-208.720,-60.907,3,2.82203,134,18.4208,16.4434,12.5656
A1,-153.553,-40.560,3,2.89068,302,24.7966,21.742,16.1453
A1,-250.178,-77.509,2,2.74307,201,22.6329,22.5151,15.423
A1,-182.416,-41.328,3,2.81912,255,21.5307,21.6275,14.3527
A1,-177.155,-1.880,3,3.0312,165,19.669,15.8435,13.3411
A1,-217.044,-66.719,3,2.94179,208,19.0347,18.7122,12.6196
A1,-226.334,-44.700,3,2.72452,140,23.3506,22.4314,16.6496
A1,-238.058,-54.621,3,2.96497,198,22.8693,20.4728,15.3331
A1,-190.699,-50.704,3,2.75807,212,19.2584,20.457,14.6698
A1,-217.110,-49.863,2,2.8023,102,15.0513,15.253,10.9517
A1,-254.896,50.712,3,2.89294,249,18.0741,17.5873,14.1446
A1,-234.490,-84.760,3,2.74788,201,24.2663,22.5679,17.4044
A1,-263.055,-10.680,3,2.81057,244,22.5387,19.7303,14.2397
A1,-202.284,-9.724,4,3.11648,160,21.6877,21.4513,15.7364
A1,-201.219,-53.293,3,2.68226,196,22.2557,18.9763,13.4396
A1,-173.164,-61.812,3,2.74888,253,17.193,17.0466,11.702
