Worker size,Energy (FA),Energy (MZ),Time (FA),CPU time (FA),Time (MZ),RMSD (FA),RMSD (AA),RMSD (AAS)
A1,-170.309,-48.487,1,1.19666,61,8.13041,7.53714,7.62075
A1,-218.252,-68.616,2,1.23106,40,8.95818,6.40351,5.96626
A1,-157.967,-41.207,2,1.1564,22,10.6366,10.2504,10.8336
A1,-178.341,-79.477,1,1.164,48,8.49378,5.706,5.82402
A1,-152.137,33.057,1,1.1924,51,9.6141,9.45302,9.38407
A1,-197.244,-49.766,2,1.21688,45,10.62,10.2597,9.5371
A1,-203.286,-1.926,2,1.22145,43,6.59652,4.60302,3.69396
A1,-168.328,-62.180,1,1.23012,38,5.24049,5.16742,3.96661
A1,-163.382,-57.656,1,1.19218,28,5.38284,4.75166,4.79561
A1,-204.370,-66.836,1,1.24995,27,5.06085,4.6318,4.02054
A1,-218.622,-73.636,1,1.22141,32,6.68057,6.26789,6.04441
A1,-183.428,-61.665,1,1.23277,22,6.67637,5.99096,5.87761
A1,-194.790,-57.092,1,1.23053,49,7.6878,7.65704,7.31607
A1,-191.957,-84.150,1,1.22156,51,5.82391,5.28819,4.93847
A1,-192.572,-49.631,2,1.20524,44,5.09441,4.7433,3.71812
A1,-180.038,-56.212,1,1.18389,65,7.22095,5.00525,3.89171
A1,-222.150,-65.722,1,1.18602,22,5.65066,5.43501,5.08016
A1,-227.565,-61.813,1,1.23485,31,6.79628,5.69513,4.61786
A1,-177.625,-36.788,1,1.20975,41,6.73192,5.32767,4.601
A1,-191.270,-54.394,2,1.19362,34,6.54221,6.12808,5.40989
A1,-205.388,-73.213,1,1.15071,30,6.78047,6.486,6.23987
A1,-208.222,-43.741,1,1.23841,56,5.30525,5.33022,4.66149
A1,-201.713,-82.914,1,1.2002,40,4.8949,5.63496,5.46604
A1,-177.421,-59.235,1,1.2079,36,6.13143,5.49358,4.23867
A1,-171.230,-72.107,1,1.17965,50,7.17144,6.09988,5.61484
A1,-137.000,-41.906,1,1.19061,53,9.95589,9.12558,9.04226
A1,-146.721,-33.570,2,1.25132,36,11.1593,10.8399,10.4242
A1,-198.274,-61.249,1,1.17535,42,8.0296,7.82611,7.24339
A1,-186.620,-53.216,1,1.21988,77,5.42397,5.52738,4.79375
A1,-108.466,-65.836,1,1.18795,41,7.73138,5.70106,4.19489
A1,-176.904,44.892,1,1.21347,81,11.7211,11.3509,10.4359
A1,-196.089,-5.282,2,1.247,48,6.97233,6.69635,6.44043
A1,-197.001,-80.003,1,1.22349,78,9.50857,8.00376,7.6778
A1,-201.931,-29.956,1,1.21591,37,9.35668,7.98169,7.63408
A1,-127.150,-59.309,1,1.23909,63,8.46542,6.63739,5.26813
A1,-140.863,22.507,2,1.25788,50,11.3134,10.9595,10.6693
A1,-184.329,-75.742,1,1.20138,57,5.56581,5.41106,4.85536
A1,-154.877,-33.677,1,1.22416,48,7.20348,6.3853,5.92609
A1,-203.937,-64.223,1,1.21664,64,8.85282,8.09828,8.16682
A1,-221.454,-13.940,2,1.21879,46,5.43853,4.8013,3.73882
A1,-215.478,-75.378,1,1.19411,43,4.57483,4.30044,4.05902
A1,-211.337,-63.402,1,1.21201,40,5.33495,5.00012,4.60215
A1,-198.510,-77.530,1,1.19324,46,6.39513,4.84335,4.69134
A1,-183.950,-65.007,1,1.2072,49,6.1982,4.91451,4.30996
A1,-198.580,-71.333,1,1.18517,34,8.19145,5.09053,4.93412
A1,-208.929,-65.099,1,1.1972,42,6.21476,5.21807,5.41556
A1,-207.881,-77.397,1,1.21717,36,5.14035,5.35201,4.5109
A1,-165.048,-51.714,1,1.21188,33,9.85745,9.49722,8.46805
A1,-184.270,-61.397,2,1.17928,29,8.60288,8.38192,8.70938
A1,-180.889,-51.912,1,1.21358,52,12.5365,9.54089,9.81404
A1,-202.468,-40.801,2,1.23192,41,5.88458,5.92014,5.57113
A1,-192.920,-66.619,1,1.20824,63,7.72303,6.55972,6.36986
A1,-190.647,-46.789,2,1.22123,69,6.65648,5.50306,4.98603
A1,-150.533,-41.449,1,1.21405,31,7.97454,7.25066,6.43495
A1,-194.050,-38.015,1,1.20458,27,8.19892,7.92474,7.76535
A1,-224.890,-59.206,1,1.20998,66,8.96682,7.44294,7.62123
A1,-154.261,-44.228,1,1.18173,82,12.4864,8.2624,7.62242
A1,-155.016,-71.303,1,1.19653,70,6.58732,5.58818,5.16588
A1,-152.061,-43.266,2,1.20244,47,10.9133,11.3613,11.5191
A1,-124.179,-59.996,2,1.23262,45,10.315,10.6321,10.3265
A1,-216.122,-63.851,1,1.20551,54,6.76423,4.77584,3.87215
A1,-203.597,-50.998,1,1.25242,43,4.93717,4.65631,3.90406
A1,-212.106,-53.364,1,1.24831,24,5.98074,5.85446,5.0233
A1,-195.619,-62.536,1,1.17384,50,10.4182,8.14113,7.35886
A1,-196.889,-30.780,1,1.19705,42,7.57877,6.2764,5.77289
A1,-194.621,-74.166,1,1.19501,62,6.40515,5.68611,5.40839
A1,-221.060,-61.126,1,1.19768,66,5.98129,5.8744,5.9431
A1,-204.180,-35.993,1,1.229,43,6.60129,5.68539,5.11072
A1,-187.140,-42.652,1,1.1858,25,7.72189,7.65664,6.72619
A1,-148.029,-64.418,1,1.18734,53,4.73037,5.00686,4.57428
A1,-201.321,-60.611,2,1.20129,26,6.51278,6.46661,5.92292
A1,-188.042,-73.304,1,1.19546,50,6.92613,6.24571,5.8618
A1,-194.489,-45.505,1,1.16796,45,9.7697,10.607,9.77623
A1,-165.456,-40.213,1,1.19251,55,6.33044,6.00624,5.77588
A1,-193.831,-55.983,1,1.22072,27,6.38398,7.35903,7.29912
A1,-178.175,-62.765,1,1.20888,40,8.84742,8.57242,8.02117
A1,-210.779,-60.812,1,1.18781,61,8.29156,5.85466,4.585
A1,-139.819,-57.676,1,1.20403,73,11.4895,9.0015,8.44443
A1,-133.326,-79.129,1,1.21738,53,7.94369,5.69049,5.60064
A1,-230.382,-81.730,1,1.22578,35,5.72817,5.2678,5.10112
A1,-184.295,-55.734,2,1.20611,65,5.83413,5.23359,4.11589
A1,-157.970,-34.116,1,1.18421,43,9.80864,7.5958,7.80076
A1,-178.497,-70.048,2,1.23411,68,6.38964,4.88788,4.64466
A1,-189.175,64.037,1,1.202,68,7.61412,7.7338,7.64061
A1,-199.921,-38.577,1,1.20412,42,5.58836,5.30593,4.76279
A1,-220.943,-52.720,1,1.238,72,6.15593,4.97893,4.36946
A1,-218.387,-79.278,1,1.27047,28,6.11256,5.57744,5.55005
A1,-203.041,-14.629,1,1.18547,47,5.92977,5.52083,5.02907
A1,-179.524,-14.426,1,1.17012,57,5.87736,4.95499,3.73693
A1,-208.353,-49.192,1,1.20043,30,7.25615,5.66076,4.32156
